Share of Electorate,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
18-29,0.14,0.16,0.10,0.15,0.11,0.17,0.11,0.16,0.10,0.14,0.11,0.15,0.12,0.18,0.14,0.18,0.16
30-44,0.21,0.23,0.20,0.23,0.22,0.25,0.24,0.27,0.27,0.30,0.29,0.32,0.32,0.33,0.33,0.32,0.31
45-59,0.27,0.28,0.30,0.30,0.33,0.31,0.34,0.31,0.32,0.29,0.30,0.27,0.27,0.24,0.24,0.23,0.24
60+,0.37,0.34,0.39,0.32,0.34,0.28,0.31,0.26,0.31,0.27,0.30,0.27,0.29,0.26,0.30,0.27,0.30
