Turnout Rate,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
Non-Hispanic White,0.55,0.65,0.41,0.62,0.45,0.65,0.45,0.64,0.43,0.58,0.41,0.55,0.44,0.62,0.41,0.56,0.40
Non-Hispanic Black,0.51,0.60,0.36,0.67,0.42,0.69,0.37,0.61,0.38,0.53,0.36,0.48,0.33,0.51,0.33,0.47,0.36
Hispanic,0.37,0.45,0.21,0.43,0.27,0.47,0.26,0.43,0.26,0.39,0.27,0.38,0.27,0.42,0.26,0.39,0.28
Other,0.40,0.46,0.25,0.45,0.31,0.48,0.29,0.45,0.27,0.40,0.28,0.40,0.32,0.43,0.29,0.41,0.31
