Turnout Rate,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
18-29,0.33,0.43,0.16,0.41,0.20,0.48,0.20,0.45,0.18,0.35,0.18,0.33,0.21,0.43,0.20,0.36,0.21
30-44,0.46,0.57,0.30,0.56,0.36,0.61,0.36,0.60,0.36,0.54,0.35,0.51,0.39,0.59,0.39,0.54,0.39
45-59,0.56,0.66,0.43,0.66,0.50,0.70,0.50,0.69,0.50,0.64,0.49,0.63,0.53,0.68,0.49,0.65,0.50
60+,0.66,0.71,0.55,0.71,0.59,0.71,0.58,0.70,0.57,0.67,0.56,0.66,0.57,0.68,0.54,0.65,0.54
