Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1998,43,10,Florida,0.38,0.37,0.33,4070262,3965751,10590870,12001902,0.1,67224,283965,6487,215694,
1998,44,11,Georgia,0.35,0.34,0.31,1842145,1792880,5326337,5828114,0.05,39262,278669,20482,199079,
1998,82,12,Hawaii,0.5,0.49,0.45,412520,407556,832172,910645,0.08,4924,0,0,4924,
1998,63,13,Idaho,0.46,0.45,0.43,386720,381248,843914,896422,0.04,4083,31172,1309,20978,
1998,21,14,Illinois,0.43,0.41,0.37,3541379,3394521,8285614,9070725,0.08,43051,0,0,43051,
1998,22,15,Indiana,0.37,0.37,0.36,1618689,1588617,4348730,4457578,0.02,19197,0,0,19197,
1998,31,16,Iowa,0.46,0.45,0.44,973032,956415,2112132,2176940,0.02,7394,18447,2194,18812,
1998,32,17,Kansas,0.4,0.39,0.37,743288,727236,1873438,1955236,0.04,8183,0,6025,14208,
1998,51,18,Kentucky,0.42,0.39,0.38,1215053,1145414,2930780,2999287,0.01,14987,17594,4508,28292,
1998,45,19,Louisiana,0.32,0.31,0.3,990243,969165,3097660,3216121,0.02,32228,33028,18759,67501,
1998,2,20,Maine,,0.52,0.51,,486808,943577,957916,0.02,0,0,0,0,
1998,52,21,Maryland,0.44,0.43,0.4,1556994,1535978,3571087,3879108,0.06,22572,78051,15528,77126,
1998,3,22,Massachusetts,0.44,0.43,0.4,1935277,1903336,4430939,4793966,0.08,0,0,0,0,
1998,23,23,Michigan,0.45,0.43,0.42,3143432,3036886,7005306,7276123,0.03,45879,0,0,45879,
1998,33,24,Minnesota,0.62,0.62,0.59,2105343,2091766,3378089,3555108,0.03,5572,100818,2995,58976,
1998,46,25,Mississippi,,0.28,0.27,,550694,1995283,2038324,0.01,16678,11530,1489,23932,
1998,34,26,Missouri,,0.4,0.38,,1576857,3978146,4106478,0.02,24974,49992,10366,60336,
1998,64,27,Montana,0.52,0.51,0.5,338733,331551,653998,662582,0.01,2734,0,0,2734,
1998,35,28,Nebraska,0.49,0.46,0.44,581775,545238,1197953,1247656,0.03,3676,16527,624,12564,
1998,65,29,Nevada,0.36,0.35,0.31,440042,435790,1233386,1402851,0.11,9651,12561,4055,19987,
1998,4,30,New Hampshire,0.38,0.36,0.35,330555,318940,878508,903630,0.03,2169,0,0,2169,
1998,12,31,New Jersey,0.34,0.33,0.29,1894496,1813094,5505229,6261197,0.1,31121,129377,13218,109028,
1998,66,32,New Mexico,0.43,0.42,0.39,517355,498703,1199320,1286104,0.06,4985,10397,1773,11957,
1998,13,33,New York,0.41,0.39,0.34,4989877,4735236,12263356,14139223,0.12,70001,0,59548,129549,
1998,47,34,North Carolina,,0.36,0.34,,2012143,5624292,5948653,0.04,31961,105227,5806,90381,
