Share of Electorate,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986
Less Than High School,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.10,0.11,0.11,0.12,0.14,0.15,0.17
High School Grad,0.23,0.25,0.24,0.26,0.26,0.27,0.28,0.29,0.29,0.30,0.29,0.31,0.31,0.33,0.34,0.34,0.35
Some College to College Grad,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.52,0.51,0.51,0.49,0.49,0.48,0.46,0.40,0.39,0.37
Post-Graduate,0.17,0.15,0.16,0.13,0.14,0.12,0.13,0.11,0.12,0.11,0.11,0.10,0.10,0.09,0.13,0.12,0.12
